origin_date,target,horizon_months,y_true,VAR,Ridge,ElasticNet,LSTM_Adam,LSTM_SGD,GRU_Adam,GRU_SGD
2024-10-01,indpro_total_yoy,1,-1.5702043863073278,-1.002716142209094,-0.6577011397769845,-0.8754222154012141,0.2739482522010803,0.3990707695484161,0.9418388605117798,-0.1509289890527725
2024-11-01,indpro_total_yoy,1,-0.2745230917861718,-1.6465820821169972,-0.2587901631088649,-0.4741627126554473,0.4589941501617431,0.5837485194206238,1.4317147731781006,0.0076944679021835
2024-12-01,indpro_total_yoy,1,0.8454189359275333,0.1023948785799124,-0.7334303133040274,-0.9619185909967762,0.4155893325805664,0.6066600680351257,1.498326063156128,-0.0365989953279495
2025-01-01,indpro_total_yoy,1,0.8087069726661511,0.9167497878794652,0.3768356598822557,0.1361722781973151,-0.2419181764125824,0.4944272637367248,0.190445989370346,0.6224421262741089
2025-02-01,indpro_total_yoy,1,0.5785684376915512,0.5773119777550447,0.7981074352600461,0.6402755548846826,-0.1932026743888855,0.691951334476471,0.4688316285610199,0.980143427848816
2025-03-01,indpro_total_yoy,1,0.8784823738986702,0.6369508117363655,1.264082608366902,0.8643359074604589,-0.2149848341941833,0.926898181438446,0.689495325088501,1.0969202518463137
2025-04-01,indpro_total_yoy,1,0.1015713923576022,1.0594984251838997,1.1458394361867046,0.7314155568627387,-0.2751718163490295,0.8078407645225525,0.7017018795013428,0.9977983236312866
2025-05-01,indpro_total_yoy,1,0.577649260934443,-0.004545991781032,1.2748632990788704,0.8958836470841618,-0.2036313116550445,0.8822885155677795,0.8569953441619873,1.1786857843399048
2025-06-01,indpro_total_yoy,1,1.8807635891739949,1.017725728386454,0.8282851598843077,0.2344364965062442,-0.1481220126152038,1.0497236251831057,0.9339357614517212,1.2027254104614258
2025-07-01,indpro_total_yoy,1,1.1592306926133666,1.7604853891220325,0.5747303254334808,0.0955048409163166,0.6515977382659912,0.5829497575759888,0.8699074983596802,2.047301769256592
2000-01-01,t10y2y,1,-0.11,0.0701117721526345,-0.0354532320004308,-0.0398755700117278,0.165039375424385,0.3493654131889343,0.1203216090798378,-0.0035504847764968
2000-02-01,t10y2y,1,-0.47,-0.0636877323694495,-0.1167442686140156,-0.1711636937408638,0.1424246281385421,0.3646904230117798,0.0803372040390968,-0.0695921629667282
2000-03-01,t10y2y,1,-0.45,-0.3974180254891853,-0.4797876831140144,-0.4871306627240387,0.1179379820823669,0.3450887799263,0.0482865050435066,-0.1461145132780075
2000-04-01,t10y2y,1,-0.4,-0.2999488110838728,-0.4077664457683621,-0.5112252885285168,0.0516531765460968,0.3258153796195984,0.021856166422367,-0.1909479051828384
2000-05-01,t10y2y,1,-0.35,-0.3588421796918875,-0.3871639134775286,-0.436352138292828,0.0079811345785856,0.3741151690483093,-0.0398773476481437,-0.2587530016899109
2000-06-01,t10y2y,1,-0.26,-0.2546739473876135,-0.4332829986494173,-0.4143979795597726,-0.0266734529286623,0.4148715138435364,-0.0753874704241752,-0.3778748512268066
2000-07-01,t10y2y,1,-0.45,-0.3048925140634941,-0.3681601594094396,-0.341962344625028,0.0089376252144575,0.4034473299980163,-0.1054828092455864,-0.4193339943885803
2000-08-01,t10y2y,1,-0.18,-0.3459156360890404,-0.5026483959247746,-0.5233760965892887,-0.0346724390983581,0.438348650932312,-0.1402395367622375,-0.5359612107276917
2000-09-01,t10y2y,1,-0.17,-0.1623815602405301,-2.1857568925184543,-1.1640253789659227,-0.0543043315410614,0.4697023630142212,-0.1348602473735809,-0.5842790603637695
2000-10-01,t10y2y,1,-0.13,-0.2479974943655308,-0.2923241100013696,-0.2948095113400543,-0.0522347390651702,0.483167827129364,-0.1493661701679229,-0.6205817461013794
2000-11-01,t10y2y,1,0.01,-0.0992435108428477,-0.2933979836718484,-0.2345156079773556,-0.0553426891565322,0.4821435213088989,-0.1640635132789611,-0.6239505410194397
2000-12-01,t10y2y,1,0.57,-0.0265374667924884,1.7083639942229691,-0.1441754911167732,-0.0653643310070037,0.5178589224815369,-0.1919520795345306,-0.6845889091491699
2001-01-01,t10y2y,1,0.51,0.6143482127559681,0.4494383854392284,0.5765886177085349,0.3740540146827698,0.3270386755466461,0.4100770056247711,-0.0135607738047838
2001-02-01,t10y2y,1,0.75,0.3941905135666567,0.568452600956366,0.5113027012106255,0.4648805856704712,0.3692970871925354,0.4188661277294159,-0.0618229508399963
2001-03-01,t10y2y,1,1.05,0.7269466737043531,0.7761905515734349,0.7689066471978366,0.5639092326164246,0.480150818824768,0.5073460936546326,-0.0567700415849685
2001-04-01,t10y2y,1,1.21,0.9886560301526794,1.283707904227298,1.196675209826787,0.6803301572799683,0.6595821976661682,0.6839694976806641,-0.0287951100617647
2001-05-01,t10y2y,1,1.17,1.1724629751528262,1.3987442994497612,1.2925659159911724,0.7200323343276978,0.6747862100601196,0.8135478496551514,-0.0207931715995073
2001-06-01,t10y2y,1,1.28,1.1251288350804995,1.3241185329564673,1.1796574035358791,0.7528046369552612,0.6289417743682861,0.7845011353492737,-0.0162530932575464
2001-07-01,t10y2y,1,1.21,1.2994701725546889,1.3459336338337764,1.2888486637376482,0.7677478194236755,0.6235596537590027,0.8172445893287659,0.1359642148017883
2001-08-01,t10y2y,1,1.74,1.2181831413069342,1.2761052544848683,1.154915766149354,0.7766333222389221,0.6356380581855774,0.8357691168785095,0.266454815864563
2001-09-01,t10y2y,1,1.86,1.860293430519063,1.8266854892107345,1.6457888009799082,0.7659228444099426,0.6118147373199463,0.8822686672210693,0.4358327686786651
2001-10-01,t10y2y,1,1.94,1.854603815550235,2.0150569455437837,1.7764164021622355,0.7776588797569275,0.6704135537147522,0.9139394164085388,0.5165644884109497
2001-11-01,t10y2y,1,2.0,2.076073060935288,2.0923776994097945,1.863468407768224,0.8011751770973206,0.704986035823822,0.7390143871307373,0.6865384578704834
2001-12-01,t10y2y,1,1.91,2.052429712518533,2.106737665297719,1.923161620279408,0.8103703856468201,0.6970351338386536,0.8087692260742188,0.7644982933998108
2002-01-01,t10y2y,1,1.82,1.8778344197303252,1.9533407503432951,1.8379319882225116,1.9981470108032229,1.5902950763702393,2.092033863067627,2.167005777359009
2002-02-01,t10y2y,1,1.7,1.8962925122158856,1.8695467453821537,1.765948343434163,1.95606791973114,1.5796823501586914,2.0665860176086426,2.1629316806793213
2002-03-01,t10y2y,1,1.87,1.6820478241343737,1.7872671544542855,1.652204826617448,1.7297616004943848,1.4530737400054932,1.9917469024658203,2.0811047554016113
2002-04-01,t10y2y,1,1.86,1.98871318772934,1.911198015996847,1.7974656159136273,1.4884988069534302,1.39499831199646,1.9229154586791992,2.0102460384368896
2002-05-01,t10y2y,1,1.96,1.85852018347046,1.88618549432784,1.7936391276631038,1.357628345489502,1.394726037979126,1.9193977117538452,1.9527093172073364
2002-06-01,t10y2y,1,2.28,1.9009175611490947,2.003374921964168,1.8840389758141376,1.3841201066970823,1.4668588638305664,1.9413692951202393,1.9222601652145384
2002-07-01,t10y2y,1,2.0,2.2420103703297523,2.2902950651701746,2.333259943788743,1.435316801071167,1.4937777519226074,1.9336904287338257,1.9507805109024048
2002-08-01,t10y2y,1,1.91,1.849267899378574,2.041193949458422,1.905041446590798,1.4172149896621704,1.468665361404419,1.8965494632720947,1.998220920562744
2002-09-01,t10y2y,1,2.25,1.9126771329855856,1.9875523997944256,1.8261213826537528,1.4885210990905762,1.4675004482269287,1.8112151622772217,1.997360110282898
2002-10-01,t10y2y,1,2.14,2.2359950973821388,2.1537553493670596,2.090626744926894,1.469104290008545,1.406930446624756,1.8247839212417605,2.0351691246032715
2002-11-01,t10y2y,1,2.22,2.074364703708203,2.069029913591914,1.9965618934871776,1.5040428638458252,1.4757671356201172,1.882496118545532,2.067786931991577
2002-12-01,t10y2y,1,2.28,2.1251547995924964,2.109087084638878,2.0723070319875996,1.5727201700210571,1.4615280628204346,1.8444751501083376,2.067915916442871
2003-01-01,t10y2y,1,2.18,2.1926834530564516,2.112120871615146,2.1191944425899583,2.2106270790100098,2.176745891571045,2.0508506298065186,2.027179718017578
2003-02-01,t10y2y,1,2.32,2.0845609925948496,2.0033738718620606,2.021041211243942,2.022101640701294,2.4550681114196777,1.9110023975372312,1.775119662284851
2003-03-01,t10y2y,1,2.38,2.3466351677187705,2.1791741664118387,2.1642211195832313,2.1892507076263428,2.2381319999694824,1.858533263206482,1.9048453569412231
2003-04-01,t10y2y,1,2.04,2.372400647122359,2.1976828540143263,2.223844541502257,2.1392054557800293,2.1307902336120605,1.738054871559143,1.8655301332473757
2003-05-01,t10y2y,1,2.22,1.9680239504513215,1.9239606223789965,1.916950951374342,2.119337320327759,2.043574810028076,1.66485333442688,1.805683135986328
2003-06-01,t10y2y,1,2.69,2.253054329681316,1.9534261115701592,2.080269014287313,2.0517446994781494,2.005763053894043,1.6151809692382812,1.8111915588378904
2003-07-01,t10y2y,1,2.5,2.5468342670266995,2.2157618238196126,2.51508748035886,1.991982340812683,2.080449104309082,1.5082052946090698,1.9508373737335205
2003-08-01,t10y2y,1,2.46,2.3960691956322058,2.2043592298558345,2.34629012781578,1.8012851476669312,2.2315993309020996,1.404477834701538,1.9715900421142576
2003-09-01,t10y2y,1,2.48,2.4305672056538894,2.177982442000113,2.3157274050465464,1.7802451848983765,2.132307529449463,1.3986191749572754,1.9938154220581057
2003-10-01,t10y2y,1,2.28,2.348798770845547,2.1499539831472987,2.3308846375211054,1.6770013570785522,2.0822348594665527,1.4021121263504028,1.9668818712234497
2003-11-01,t10y2y,1,2.43,2.1619465252754946,2.056776243704103,2.1549181539302036,1.651601791381836,2.087728500366211,1.3420424461364746,1.9151099920272827
2003-12-01,t10y2y,1,2.32,2.424850967625979,2.1235377710259646,2.307462616817279,1.6021448373794556,2.0112838745117188,1.2527709007263184,1.8586342334747312
2004-01-01,t10y2y,1,2.33,2.19353326841527,2.0862712253852203,2.2033444564305475,2.3869376182556152,2.520449161529541,2.5702037811279297,1.9202464818954468
2004-02-01,t10y2y,1,2.26,2.3539687824342375,2.1001326352954406,2.213896902997248,2.3556690216064453,2.540009021759033,2.545815706253052,1.9050294160842896
2004-03-01,t10y2y,1,2.22,2.2483493759379094,2.011045093983613,2.1481018231025333,2.339698076248169,2.550964117050171,2.484915018081665,1.8472739458084104
2004-04-01,t10y2y,1,2.12,2.160591493873393,2.0243856786078167,2.108617372546605,2.3426506519317627,2.47979736328125,2.505021572113037,1.813127875328064
2004-05-01,t10y2y,1,1.92,2.0775858628464645,1.9736973873192525,2.0212644502042414,2.3270866870880127,2.4050846099853516,2.4112203121185303,1.8086093664169312
2004-06-01,t10y2y,1,1.82,2.044029449645695,1.8838539998492276,1.8374014158232777,2.3057565689086914,2.275242328643799,2.383665084838867,1.7222267389297483
2004-07-01,t10y2y,1,1.72,1.894977459545601,1.7918252394767595,1.7465111000468818,2.274375915527344,2.175144672393799,2.2899539470672607,1.6294742822647097
2004-08-01,t10y2y,1,1.51,1.693628877300982,1.674722018257625,1.6532748812780471,2.1969399452209473,2.071451187133789,2.216761589050293,1.452858328819275
